Data; Radiação global
2026/05/01; 
2026/05/01; 
2026/05/01; 
2026/05/01; 
2026/05/01; 
2026/05/01; 
2026/05/01; 
2026/05/01; 
2026/05/01; 
2026/05/01; 
2026/05/01; 103,2
2026/05/01; 790,9
2026/05/01; 1625
2026/05/01; 2249,4
2026/05/01; 2414,3
2026/05/01; 3080,5
2026/05/01; 3252,1
2026/05/01; 2749,2
2026/05/01; 1591,6
2026/05/01; 1004,4
2026/05/01; 869,6
2026/05/01; 135,4
2026/05/01; 
2026/05/01; 
2026/05/02; 
2026/05/02; 
2026/05/02; 
2026/05/02; 
2026/05/02; 
2026/05/02; 
2026/05/02; 
2026/05/02; 
2026/05/02; 
2026/05/02; 
2026/05/02; 58,4
2026/05/02; 799,1
2026/05/02; 1602,4
2026/05/02; 2339,1
2026/05/02; 2703,1
2026/05/02; 2692
2026/05/02; 3037,5
2026/05/02; 1606,3
2026/05/02; 1578,8
2026/05/02; 854,7
2026/05/02; 780,9
2026/05/02; 136,9
2026/05/02; 
2026/05/02; 
2026/05/03; 
2026/05/03; 
2026/05/03; 
2026/05/03; 
2026/05/03; 
2026/05/03; 
2026/05/03; 
2026/05/03; 
2026/05/03; 
2026/05/03; 
2026/05/03; 91,3
2026/05/03; 750,9
2026/05/03; 1562,3
2026/05/03; 2266,4
2026/05/03; 2875,3
2026/05/03; 3309,4
2026/05/03; 2787,3
2026/05/03; 2745,4
2026/05/03; 2173,7
2026/05/03; 989,9
2026/05/03; 888
2026/05/03; 135,1
2026/05/03; 
2026/05/03; 
2026/05/04; 
2026/05/04; 
2026/05/04; 
2026/05/04; 
2026/05/04; 
2026/05/04; 
2026/05/04; 
2026/05/04; 
2026/05/04; 
2026/05/04; 
2026/05/04; 43,8
2026/05/04; 355,7
2026/05/04; 872,5
2026/05/04; 1874,9
2026/05/04; 1601,3
2026/05/04; 2155,3
2026/05/04; 3004,5
2026/05/04; 2120,2
2026/05/04; 1980,9
2026/05/04; 1151,2
2026/05/04; 434,9
2026/05/04; 108,1
2026/05/04; 
2026/05/04; 
2026/05/05; 
2026/05/05; 
2026/05/05; 
2026/05/05; 
2026/05/05; 
2026/05/05; 
2026/05/05; 
2026/05/05; 
2026/05/05; 
2026/05/05; 
2026/05/05; 71,9
2026/05/05; 753,2
2026/05/05; 1576,5
2026/05/05; 2301,3
2026/05/05; 2829,9
2026/05/05; 3114,3
2026/05/05; 3129,3
2026/05/05; 2794,6
2026/05/05; 2277,4
2026/05/05; 1489
2026/05/05; 967,2
2026/05/05; 179,4
2026/05/05; 
2026/05/05; 
2026/05/06; 
2026/05/06; 
2026/05/06; 
2026/05/06; 
2026/05/06; 
2026/05/06; 
2026/05/06; 
2026/05/06; 
2026/05/06; 
2026/05/06; 
2026/05/06; 66,3
2026/05/06; 722,1
2026/05/06; 1418,2
2026/05/06; 1695,4
2026/05/06; 2559,2
2026/05/06; 2809,5
2026/05/06; 2916,7
2026/05/06; 2660,9
2026/05/06; 2012
2026/05/06; 1677,8
2026/05/06; 734,5
2026/05/06; 153,6
2026/05/06; 
2026/05/06; 
2026/05/07; 
2026/05/07; 
2026/05/07; 
2026/05/07; 
2026/05/07; 
2026/05/07; 
2026/05/07; 
2026/05/07; 
2026/05/07; 
2026/05/07; 
2026/05/07; 57,1
2026/05/07; 738,5
2026/05/07; 1557,2
2026/05/07; 2275
2026/05/07; 2758,3
2026/05/07; 2809,9
2026/05/07; 2855,3
2026/05/07; 2686,1
2026/05/07; 2168,4
2026/05/07; 1821,4
2026/05/07; 993
2026/05/07; 170,8
2026/05/07; 
2026/05/07; 
2026/05/08; 
2026/05/08; 
2026/05/08; 
2026/05/08; 
2026/05/08; 
2026/05/08; 
2026/05/08; 
2026/05/08; 
2026/05/08; 
2026/05/08; 
2026/05/08; 47,2
2026/05/08; 708,3
2026/05/08; 1528,8
2026/05/08; 2231,1
2026/05/08; 2751,3
2026/05/08; 3025,2
2026/05/08; 2481,3
2026/05/08; 2166,4
2026/05/08; 1973,2
2026/05/08; 1715,6
2026/05/08; 997
2026/05/08; 130,3
2026/05/08; 
2026/05/08; 
2026/05/09; 
2026/05/09; 
2026/05/09; 
2026/05/09; 
2026/05/09; 
2026/05/09; 
2026/05/09; 
2026/05/09; 
2026/05/09; 
2026/05/09; 
2026/05/09; 42,5
2026/05/09; 723,2
2026/05/09; 1542,1
2026/05/09; 2254,6
2026/05/09; 2711,9
2026/05/09; 3036,4
2026/05/09; 3059,9
2026/05/09; 3095,8
2026/05/09; 2556,3
2026/05/09; 1449,6
2026/05/09; 913,8
2026/05/09; 200,3
2026/05/09; 
2026/05/09; 
2026/05/10; 
2026/05/10; 
2026/05/10; 
2026/05/10; 
2026/05/10; 
2026/05/10; 
2026/05/10; 
2026/05/10; 
2026/05/10; 
2026/05/10; 
2026/05/10; 62,4
2026/05/10; 684,5
2026/05/10; 1481,6
2026/05/10; 2270,8
2026/05/10; 2730,2
2026/05/10; 3027
2026/05/10; 2995,3
2026/05/10; 2376,7
2026/05/10; 1307,5
2026/05/10; 1286,1
2026/05/10; 662,2
2026/05/10; 60,4
2026/05/10; 
2026/05/10; 
2026/05/11; 
2026/05/11; 
2026/05/11; 
2026/05/11; 
2026/05/11; 
2026/05/11; 
2026/05/11; 
2026/05/11; 
2026/05/11; 
2026/05/11; 
2026/05/11; 18,5
2026/05/11; 151,5
2026/05/11; 506,3
2026/05/11; 1048,2
2026/05/11; 2431,2
2026/05/11; 2989,6
2026/05/11; 2987,5
2026/05/11; 2772,8
2026/05/11; 2297,8
2026/05/11; 1634,2
2026/05/11; 851,6
2026/05/11; 128,3
2026/05/11; 
2026/05/11; 
2026/05/12; 
2026/05/12; 
2026/05/12; 
2026/05/12; 
2026/05/12; 
2026/05/12; 
2026/05/12; 
2026/05/12; 
2026/05/12; 
2026/05/12; 
2026/05/12; 32,8
2026/05/12; 659,5
2026/05/12; 1477,7
2026/05/12; 2170,9
2026/05/12; 2681,8
2026/05/12; 2940,2
2026/05/12; 3008,8
2026/05/12; 2661,3
2026/05/12; 1910,8
2026/05/12; 1168
2026/05/12; 855
2026/05/12; 84,6
2026/05/12; 
2026/05/12; 
2026/05/13; 
2026/05/13; 
2026/05/13; 
2026/05/13; 
2026/05/13; 
2026/05/13; 
2026/05/13; 
2026/05/13; 
2026/05/13; 
2026/05/13; 
2026/05/13; 19,9
2026/05/13; 531,1
2026/05/13; 1396,2
2026/05/13; 1901,2
2026/05/13; 1959,3
2026/05/13; 2005,7
2026/05/13; 1732,2
2026/05/13; 1662
2026/05/13; 1163,5
2026/05/13; 999,9
2026/05/13; 407,2
2026/05/13; 66,1
2026/05/13; 
2026/05/13; 
2026/05/14; 
2026/05/14; 
2026/05/14; 
2026/05/14; 
2026/05/14; 
2026/05/14; 
2026/05/14; 
2026/05/14; 
2026/05/14; 
2026/05/14; 
2026/05/14; 39,4
2026/05/14; 467,6
2026/05/14; 1350,9
2026/05/14; 2013,5
2026/05/14; 2287,2
2026/05/14; 2561,4
2026/05/14; 2141,1
2026/05/14; 1067,5
2026/05/14; 788,3
2026/05/14; 357,5
2026/05/14; 378,3
2026/05/14; 118,3
2026/05/14; 
2026/05/14; 
2026/05/15; 
2026/05/15; 
2026/05/15; 
2026/05/15; 
2026/05/15; 
2026/05/15; 
2026/05/15; 
2026/05/15; 
2026/05/15; 
2026/05/15; 
2026/05/15; 34,6
2026/05/15; 620,8
2026/05/15; 1396,4
2026/05/15; 2156,6
2026/05/15; 2389,6
2026/05/15; 2227
2026/05/15; 1831,6
2026/05/15; 1603,4
2026/05/15; 2112,4
2026/05/15; 1452,2
2026/05/15; 56,2
2026/05/15; 2,2
2026/05/15; 
2026/05/15; 
2026/05/16; 
2026/05/16; 
2026/05/16; 
2026/05/16; 
2026/05/16; 
2026/05/16; 
2026/05/16; 
2026/05/16; 
2026/05/16; 
2026/05/16; 
2026/05/16; 40,4
