Data; Radiação global
2026/01/01; 
2026/01/01; 
2026/01/01; 
2026/01/01; 
2026/01/01; 
2026/01/01; 
2026/01/01; 
2026/01/01; 
2026/01/01; 
2026/01/01; 11
2026/01/01; 456,7
2026/01/01; 1308,6
2026/01/01; 2149
2026/01/01; 2898,3
2026/01/01; 2967,6
2026/01/01; 3664,3
2026/01/01; 430,2
2026/01/01; 2533,7
2026/01/01; 789,7
2026/01/01; 2057,6
2026/01/01; 1090,6
2026/01/01; 307,8
2026/01/01; 143,3
2026/01/01; 
2026/01/02; 
2026/01/02; 
2026/01/02; 
2026/01/02; 
2026/01/02; 
2026/01/02; ,3
2026/01/02; 
2026/01/02; 
2026/01/02; 
2026/01/02; 4
2026/01/02; 268
2026/01/02; 1058,2
2026/01/02; 2135
2026/01/02; 2395,2
2026/01/02; 1546,5
2026/01/02; 1525,3
2026/01/02; 449,8
2026/01/02; 746,9
2026/01/02; 1021,9
2026/01/02; 1661,4
2026/01/02; 1743,1
2026/01/02; 510,2
2026/01/02; 129
2026/01/02; 
2026/01/03; 
2026/01/03; 
2026/01/03; 
2026/01/03; 
2026/01/03; 
2026/01/03; 
2026/01/03; 
2026/01/03; 
2026/01/03; 
2026/01/03; ,9
2026/01/03; 164,9
2026/01/03; 572,6
2026/01/03; 1035,7
2026/01/03; 1540,1
2026/01/03; 1982,9
2026/01/03; 2642,2
2026/01/03; 2792,6
2026/01/03; 2885,5
2026/01/03; 2902,3
2026/01/03; 2103,8
2026/01/03; 707,5
2026/01/03; 98,2
2026/01/03; 4,9
2026/01/03; 
2026/01/04; 
2026/01/04; 
2026/01/04; 
2026/01/04; 
2026/01/04; 
2026/01/04; 
2026/01/04; 
2026/01/04; 
2026/01/04; 
2026/01/04; 3,3
2026/01/04; 132
2026/01/04; 496,6
2026/01/04; 915,6
2026/01/04; 1451,1
2026/01/04; 1559,5
2026/01/04; 1333
2026/01/04; 1121,3
2026/01/04; 1706,1
2026/01/04; 1929,8
2026/01/04; 1080,6
2026/01/04; 1662,4
2026/01/04; 458
2026/01/04; 102,9
2026/01/04; 
2026/01/05; 
2026/01/05; 
2026/01/05; 
2026/01/05; 
2026/01/05; 
2026/01/05; 
2026/01/05; 
2026/01/05; 
2026/01/05; 
2026/01/05; 2,7
2026/01/05; 120,4
2026/01/05; 246,6
2026/01/05; 464,5
2026/01/05; 908,9
2026/01/05; 1300,2
2026/01/05; 2186,4
2026/01/05; 1382,7
2026/01/05; 2669,4
2026/01/05; 1597,9
2026/01/05; 861,7
2026/01/05; 606,8
2026/01/05; 237
2026/01/05; 35,5
2026/01/05; 
2026/01/06; 
2026/01/06; 
2026/01/06; 
2026/01/06; 
2026/01/06; 
2026/01/06; 
2026/01/06; 
2026/01/06; 
2026/01/06; 
2026/01/06; 1,5
2026/01/06; 78,6
2026/01/06; 444
2026/01/06; 816,2
2026/01/06; 743,7
2026/01/06; 1656
2026/01/06; 994,1
2026/01/06; 811,5
2026/01/06; 385,3
2026/01/06; 324,6
2026/01/06; 305,8
2026/01/06; 247,8
2026/01/06; 225,6
2026/01/06; 72,4
2026/01/06; 
2026/01/07; 
2026/01/07; 
2026/01/07; 
2026/01/07; 
2026/01/07; 
2026/01/07; 
2026/01/07; 
2026/01/07; 
2026/01/07; 
2026/01/07; 1,6
2026/01/07; 145,9
2026/01/07; 862,1
2026/01/07; 1213,2
2026/01/07; 1298
2026/01/07; 1712,5
2026/01/07; 2640,6
2026/01/07; 2723,3
2026/01/07; 1021,3
2026/01/07; 773,5
2026/01/07; 293,1
2026/01/07; 185,1
2026/01/07; 191,9
2026/01/07; 32,3
2026/01/07; 
2026/01/08; 
2026/01/08; 
2026/01/08; 
2026/01/08; 
2026/01/08; 
2026/01/08; 
2026/01/08; 
2026/01/08; 
2026/01/08; 
2026/01/08; 1,6
2026/01/08; 252
2026/01/08; 618,4
2026/01/08; 1038,2
2026/01/08; 2022,3
2026/01/08; 2711,1
2026/01/08; 2594,6
2026/01/08; 3411,5
2026/01/08; 2996,3
2026/01/08; 2833
2026/01/08; 2694,6
2026/01/08; 1798,3
2026/01/08; 493
2026/01/08; 36,2
2026/01/08; 
2026/01/09; 
2026/01/09; 
2026/01/09; 
2026/01/09; 
2026/01/09; 
2026/01/09; 
2026/01/09; 
2026/01/09; 
2026/01/09; 
2026/01/09; 1,8
2026/01/09; 344,9
2026/01/09; 812,1
2026/01/09; 1653,7
2026/01/09; 2493
2026/01/09; 2937,4
2026/01/09; 3874,3
2026/01/09; 3242,6
2026/01/09; 2712,6
2026/01/09; 2309,9
2026/01/09; 2249,9
2026/01/09; 1605,1
2026/01/09; 478,3
2026/01/09; 63,9
2026/01/09; 
2026/01/10; 
2026/01/10; 
2026/01/10; 
2026/01/10; 
2026/01/10; 
2026/01/10; 
2026/01/10; 
2026/01/10; 
2026/01/10; 
2026/01/10; 1,3
2026/01/10; 412,1
2026/01/10; 1320,8
2026/01/10; 2217,7
2026/01/10; 2804,9
2026/01/10; 3170,2
2026/01/10; 3552,9
2026/01/10; 3816,1
2026/01/10; 3827,9
2026/01/10; 3358,4
2026/01/10; 2745,2
2026/01/10; 1445,5
2026/01/10; 1022,5
2026/01/10; 142,8
2026/01/10; 
2026/01/11; 
2026/01/11; 
2026/01/11; 
2026/01/11; 
2026/01/11; 
2026/01/11; 
2026/01/11; 
2026/01/11; 
2026/01/11; 
2026/01/11; 1,1
2026/01/11; 389,8
2026/01/11; 1275,2
2026/01/11; 2166,4
2026/01/11; 2891,2
2026/01/11; 3254,2
2026/01/11; 3921,8
2026/01/11; 4014
2026/01/11; 3660
2026/01/11; 2776
2026/01/11; 2606,6
2026/01/11; 1890,4
2026/01/11; 965,4
2026/01/11; 138,6
2026/01/11; 
2026/01/12; 
2026/01/12; 
2026/01/12; 
2026/01/12; 
2026/01/12; 
2026/01/12; 
2026/01/12; 
2026/01/12; 
2026/01/12; 
2026/01/12; ,9
2026/01/12; 343,1
2026/01/12; 1134,1
