Data; Radiação global
2026/03/01; 
2026/03/01; 
2026/03/01; 
2026/03/01; 
2026/03/01; 
2026/03/01; 
2026/03/01; 
2026/03/01; 
2026/03/01; 
2026/03/01; 
2026/03/01; 79,2
2026/03/01; 777,8
2026/03/01; 1419,2
2026/03/01; 3032,7
2026/03/01; 3560,8
2026/03/01; 3858,6
2026/03/01; 3876,5
2026/03/01; 3748,9
2026/03/01; 3092,2
2026/03/01; 1014
2026/03/01; 572,5
2026/03/01; 206,1
2026/03/01; 37
2026/03/01; 
2026/03/02; 
2026/03/02; 
2026/03/02; 
2026/03/02; 
2026/03/02; 
2026/03/02; 
2026/03/02; 
2026/03/02; 
2026/03/02; 
2026/03/02; 
2026/03/02; 135,6
2026/03/02; 946,8
2026/03/02; 1870,8
2026/03/02; 2659
2026/03/02; 3256,1
2026/03/02; 2035,7
2026/03/02; 1691,3
2026/03/02; 2381,6
2026/03/02; 870,3
2026/03/02; 1105,5
2026/03/02; 459,5
2026/03/02; 251,7
2026/03/02; 116,7
2026/03/02; 
2026/03/03; 
2026/03/03; 
2026/03/03; 
2026/03/03; 
2026/03/03; 
2026/03/03; 
2026/03/03; 
2026/03/03; 
2026/03/03; 
2026/03/03; 
2026/03/03; 144,6
2026/03/03; 884,8
2026/03/03; 2084,4
2026/03/03; 2519,4
2026/03/03; 3000,2
2026/03/03; 3032,2
2026/03/03; 3229,1
2026/03/03; 1916,5
2026/03/03; 1197,5
2026/03/03; 562,8
2026/03/03; 548,6
2026/03/03; 416,7
2026/03/03; 41,5
2026/03/03; 
2026/03/04; 
2026/03/04; 
2026/03/04; 
2026/03/04; 
2026/03/04; 
2026/03/04; 
2026/03/04; 
2026/03/04; 
2026/03/04; 
2026/03/04; 
2026/03/04; 176,9
2026/03/04; 936,3
2026/03/04; 1842
2026/03/04; 2474,2
2026/03/04; 2214,8
2026/03/04; 3403,3
2026/03/04; 3721,6
2026/03/04; 2951,3
2026/03/04; 2465,5
2026/03/04; 1759,3
2026/03/04; 859,4
2026/03/04; 183,8
2026/03/04; 22,7
2026/03/04; 
2026/03/05; 
2026/03/05; 
2026/03/05; 
2026/03/05; 
2026/03/05; 
2026/03/05; 
2026/03/05; 
2026/03/05; 
2026/03/05; 
2026/03/05; 
2026/03/05; 193,1
2026/03/05; 915,3
2026/03/05; 1760,4
2026/03/05; 2526,2
2026/03/05; 2298,5
2026/03/05; 2717,5
2026/03/05; 3819,4
2026/03/05; 2507,9
2026/03/05; 3365,7
2026/03/05; 2512,3
2026/03/05; 1756,1
2026/03/05; 665,5
2026/03/05; 63,9
2026/03/05; 
2026/03/06; 
2026/03/06; 
2026/03/06; 
2026/03/06; 
2026/03/06; 
2026/03/06; 
2026/03/06; 
2026/03/06; 
2026/03/06; 
2026/03/06; 
2026/03/06; 100,8
2026/03/06; 430,4
2026/03/06; 647,3
2026/03/06; 1386,8
2026/03/06; 1914,6
2026/03/06; 1716,8
2026/03/06; 2059,4
2026/03/06; 3727,1
2026/03/06; 2453,6
2026/03/06; 2121,4
2026/03/06; 661,3
2026/03/06; 54,2
2026/03/06; 
2026/03/06; 
2026/03/07; 
2026/03/07; 
2026/03/07; 
2026/03/07; 
2026/03/07; 
2026/03/07; 
2026/03/07; 
2026/03/07; 
2026/03/07; 
2026/03/07; 
2026/03/07; 148,1
2026/03/07; 641,4
2026/03/07; 1210,7
2026/03/07; 2012,5
2026/03/07; 3110,1
2026/03/07; 2557,5
2026/03/07; 3172,3
2026/03/07; 2677,2
2026/03/07; 1003,6
2026/03/07; 341,4
2026/03/07; 140,4
2026/03/07; 80,7
2026/03/07; 16
2026/03/07; 
2026/03/08; 
2026/03/08; 
2026/03/08; 
2026/03/08; 
2026/03/08; 
2026/03/08; 
2026/03/08; 
2026/03/08; 
2026/03/08; 
2026/03/08; 
2026/03/08; 47,7
2026/03/08; 394,3
2026/03/08; 1781,9
2026/03/08; 2511,7
2026/03/08; 1148,7
2026/03/08; 1100
2026/03/08; 530,4
2026/03/08; 253,5
2026/03/08; 471,4
2026/03/08; 1172,8
2026/03/08; 1119,8
2026/03/08; 248,1
2026/03/08; 26,1
2026/03/08; 
2026/03/09; 
2026/03/09; 
2026/03/09; 
2026/03/09; 
2026/03/09; 
2026/03/09; 
2026/03/09; 
2026/03/09; 
2026/03/09; 
2026/03/09; 
2026/03/09; 17,4
2026/03/09; 234,1
2026/03/09; 1621,4
2026/03/09; 2244,1
2026/03/09; 2290
2026/03/09; 3001,4
2026/03/09; 3472,9
2026/03/09; 3097,2
2026/03/09; 1613,2
2026/03/09; 1055,2
2026/03/09; 500,4
2026/03/09; 245,1
2026/03/09; 17,8
2026/03/09; 
2026/03/10; 
2026/03/10; 
2026/03/10; 
2026/03/10; 
2026/03/10; 
2026/03/10; 
2026/03/10; 
2026/03/10; 
2026/03/10; 
2026/03/10; 
2026/03/10; 43,6
2026/03/10; 371
2026/03/10; 1477,6
2026/03/10; 2612,9
2026/03/10; 2660,3
2026/03/10; 3452,1
2026/03/10; 3122,8
2026/03/10; 2705,3
2026/03/10; 1470,2
2026/03/10; 1162,4
2026/03/10; 1135,4
2026/03/10; 291,1
2026/03/10; 14,3
2026/03/10; 
2026/03/11; 
2026/03/11; 
2026/03/11; 
2026/03/11; 
2026/03/11; 
2026/03/11; 
2026/03/11; 
2026/03/11; 
2026/03/11; 
2026/03/11; 
2026/03/11; 132,4
2026/03/11; 817,1
2026/03/11; 1283,1
2026/03/11; 1782,6
2026/03/11; 2769,2
2026/03/11; 3349,4
2026/03/11; 2825,2
2026/03/11; 3651,7
2026/03/11; 1900,9
2026/03/11; 1365
2026/03/11; 805
2026/03/11; 199,9
2026/03/11; 9,2
2026/03/11; 
2026/03/12; 
2026/03/12; 
2026/03/12; 
2026/03/12; 
2026/03/12; 
2026/03/12; 
2026/03/12; 
2026/03/12; 
2026/03/12; 
2026/03/12; 
2026/03/12; 69,4
2026/03/12; 447,6
2026/03/12; 696,6
2026/03/12; 266,9
2026/03/12; 674,5
2026/03/12; 760
2026/03/12; 1541,4
2026/03/12; 1419,3
2026/03/12; 1040,2
2026/03/12; 675,7
2026/03/12; 374,1
2026/03/12; 171,5
2026/03/12; 5
2026/03/12; 
2026/03/13; 
2026/03/13; 
2026/03/13; 
2026/03/13; 
2026/03/13; 
2026/03/13; 
2026/03/13; 
2026/03/13; 
2026/03/13; 
2026/03/13; 
2026/03/13; 102,8
2026/03/13; 631,8
2026/03/13; 1777,6
2026/03/13; 2697,7
2026/03/13; 3228,4
2026/03/13; 3435,6
2026/03/13; 3202,4
2026/03/13; 2945,5
2026/03/13; 1992
2026/03/13; 1873,6
2026/03/13; 939,1
2026/03/13; 271,1
2026/03/13; 19,6
2026/03/13; 
2026/03/14; 
2026/03/14; 
2026/03/14; 
2026/03/14; 
2026/03/14; 
2026/03/14; 
2026/03/14; 
2026/03/14; 
2026/03/14; 
2026/03/14; 
2026/03/14; 43
2026/03/14; 715,8
2026/03/14; 1157,2
2026/03/14; 803,1
2026/03/14; 3484
2026/03/14; 2621,1
2026/03/14; 2413,7
2026/03/14; 3092,5
2026/03/14; 1343,9
2026/03/14; 720,7
2026/03/14; 884,5
2026/03/14; 331,8
2026/03/14; 12,7
2026/03/14; 
2026/03/15; 
2026/03/15; 
2026/03/15; 
2026/03/15; 
2026/03/15; 
2026/03/15; 
2026/03/15; 
2026/03/15; 
2026/03/15; 
2026/03/15; 
2026/03/15; 146,2
2026/03/15; 535,9
2026/03/15; 1264,6
2026/03/15; 2555,1
2026/03/15; 3061
2026/03/15; 1910,7
2026/03/15; 2405,8
2026/03/15; 1478,6
2026/03/15; 2235,5
2026/03/15; 1564
2026/03/15; 484,5
2026/03/15; 39,9
2026/03/15; ,2
2026/03/15; 
2026/03/16; 
2026/03/16; 
2026/03/16; 
2026/03/16; 
2026/03/16; 
2026/03/16; 
2026/03/16; 
2026/03/16; 
2026/03/16; 
2026/03/16; 
2026/03/16; 92,5
2026/03/16; 641,6
2026/03/16; 1698
2026/03/16; 2196,6
2026/03/16; 2142,6
2026/03/16; 1494,8
2026/03/16; 692,9
2026/03/16; 1117,7
2026/03/16; 1090,2
2026/03/16; 717,6
2026/03/16; 636,2
2026/03/16; 214,3
2026/03/16; 6,5
2026/03/16; 
2026/03/17; 
2026/03/17; 
2026/03/17; 
2026/03/17; 
2026/03/17; 
2026/03/17; 
2026/03/17; 
2026/03/17; 
2026/03/17; 
2026/03/17; 
2026/03/17; 126,7
2026/03/17; 954,1
2026/03/17; 1382,4
2026/03/17; 2215,1
2026/03/17; 2173,6
2026/03/17; 1870,1
2026/03/17; 2632,7
2026/03/17; 1131,4
2026/03/17; 941,4
2026/03/17; 918,7
2026/03/17; 672
2026/03/17; 284
2026/03/17; 10,2
2026/03/17; 
2026/03/18; 
2026/03/18; 
2026/03/18; 
2026/03/18; 
2026/03/18; 
2026/03/18; 
2026/03/18; 
2026/03/18; 
2026/03/18; 
2026/03/18; 
2026/03/18; 55,3
2026/03/18; 325,9
2026/03/18; 1015,7
2026/03/18; 936,1
2026/03/18; 2792,1
2026/03/18; 2352,9
2026/03/18; 1608,5
2026/03/18; 2868,9
2026/03/18; 1951,6
2026/03/18; 1306,9
2026/03/18; 1380,5
2026/03/18; 746,6
2026/03/18; 21,1
2026/03/18; 
2026/03/19; 
2026/03/19; 
2026/03/19; 
2026/03/19; 
2026/03/19; 
2026/03/19; 
2026/03/19; 
2026/03/19; 
2026/03/19; 
2026/03/19; 
2026/03/19; 48,7
2026/03/19; 680,9
2026/03/19; 1358,4
2026/03/19; 2516,3
2026/03/19; 3033,7
2026/03/19; 3319,7
2026/03/19; 3049,6
2026/03/19; 2318,3
2026/03/19; 2019,5
2026/03/19; 2005,4
2026/03/19; 1129,8
2026/03/19; 623,8
2026/03/19; 26,4
2026/03/19; 
2026/03/20; 
2026/03/20; 
2026/03/20; 
2026/03/20; 
2026/03/20; 
2026/03/20; 
2026/03/20; 
2026/03/20; 
2026/03/20; 
2026/03/20; 
2026/03/20; 115,2
2026/03/20; 581,1
2026/03/20; 1247,8
2026/03/20; 2097,2
2026/03/20; 1216,5
2026/03/20; 2088,7
2026/03/20; 2696,6
2026/03/20; 1597
2026/03/20; 693,6
2026/03/20; 141,5
2026/03/20; 20,1
2026/03/20; 29,8
2026/03/20; 
2026/03/20; 
2026/03/21; 
2026/03/21; 
2026/03/21; 
2026/03/21; 
2026/03/21; 
2026/03/21; 
2026/03/21; 
2026/03/21; 
2026/03/21; 
2026/03/21; 
2026/03/21; 68,6
2026/03/21; 427,9
2026/03/21; 1092,1
2026/03/21; 1514,2
2026/03/21; 2774,4
2026/03/21; 2368,3
2026/03/21; 865,2
2026/03/21; 488,6
2026/03/21; 1121,6
2026/03/21; 1177
2026/03/21; 603,1
2026/03/21; 457,5
2026/03/21; 37,1
2026/03/21; 
2026/03/22; 
2026/03/22; 
2026/03/22; 
2026/03/22; 
2026/03/22; 
2026/03/22; 
2026/03/22; 
2026/03/22; 
2026/03/22; 
2026/03/22; 
2026/03/22; 74,3
2026/03/22; 419,3
2026/03/22; 1436,3
2026/03/22; 2047,3
2026/03/22; 425,8
2026/03/22; 1351,2
2026/03/22; 3241,5
2026/03/22; 3365,4
2026/03/22; 1976,5
2026/03/22; 1459,1
2026/03/22; 489,8
2026/03/22; 171,3
2026/03/22; 10,3
2026/03/22; 
2026/03/23; 
2026/03/23; 
2026/03/23; 
2026/03/23; 
2026/03/23; 
2026/03/23; 
2026/03/23; 
2026/03/23; 
2026/03/23; 
2026/03/23; 
2026/03/23; 129,7
2026/03/23; 876,1
2026/03/23; 1824,5
2026/03/23; 1126,9
2026/03/23; 2486,8
2026/03/23; 2879,1
2026/03/23; 3822,4
2026/03/23; 2863,7
2026/03/23; 1907,6
2026/03/23; 1195,7
2026/03/23; 493,6
2026/03/23; 234,8
2026/03/23; 21,5
2026/03/23; 
2026/03/24; 
2026/03/24; 
2026/03/24; 
2026/03/24; 
2026/03/24; 
2026/03/24; 
2026/03/24; 
2026/03/24; 
2026/03/24; 
2026/03/24; 
2026/03/24; 145,1
2026/03/24; 835
2026/03/24; 1689,6
2026/03/24; 2426
2026/03/24; 2999,5
2026/03/24; 3589,5
2026/03/24; 3609,3
2026/03/24; 2251,8
2026/03/24; 896,5
2026/03/24; 84,6
2026/03/24; 64,8
2026/03/24; 74
2026/03/24; 6,7
2026/03/24; 
2026/03/25; 
2026/03/25; 
2026/03/25; 
2026/03/25; 
2026/03/25; 
2026/03/25; 
2026/03/25; 
2026/03/25; 
2026/03/25; 
2026/03/25; 
2026/03/25; 32,6
2026/03/25; 374,1
2026/03/25; 650,1
2026/03/25; 812,5
2026/03/25; 2227,3
2026/03/25; 1731,1
2026/03/25; 1942,8
2026/03/25; 2539,8
2026/03/25; 2207,3
2026/03/25; 2190,2
2026/03/25; 945,1
2026/03/25; 326,1
2026/03/25; 3,1
2026/03/25; 
2026/03/26; 
2026/03/26; 
2026/03/26; 
2026/03/26; 
2026/03/26; 
2026/03/26; 
2026/03/26; 
2026/03/26; 
2026/03/26; 
2026/03/26; 
2026/03/26; 54,4
2026/03/26; 391
2026/03/26; 1041,5
2026/03/26; 2225,8
2026/03/26; 3022,3
2026/03/26; 1350,2
2026/03/26; 3768,3
2026/03/26; 1755
2026/03/26; 1284
2026/03/26; 633,1
2026/03/26; 202,8
2026/03/26; 111,6
2026/03/26; ,9
2026/03/26; 
2026/03/27; 
2026/03/27; 
2026/03/27; 
2026/03/27; 
2026/03/27; 
2026/03/27; 
2026/03/27; 
2026/03/27; 
2026/03/27; 
2026/03/27; 
2026/03/27; 75,2
2026/03/27; 307,2
2026/03/27; 631,7
2026/03/27; 1146
2026/03/27; 2493,4
2026/03/27; 3431,6
2026/03/27; 3313,7
2026/03/27; 3398,7
2026/03/27; 2846,5
2026/03/27; 1683,8
2026/03/27; 953,4
2026/03/27; 366,6
2026/03/27; 5,1
2026/03/27; 
2026/03/28; 
2026/03/28; 
2026/03/28; 
2026/03/28; 
2026/03/28; 
2026/03/28; 
2026/03/28; 
2026/03/28; 
2026/03/28; 
