Data; Radiação global
2026/02/01; 
2026/02/01; 
2026/02/01; 
2026/02/01; 
2026/02/01; 
2026/02/01; 
2026/02/01; 
2026/02/01; 
2026/02/01; 
2026/02/01; 
2026/02/01; 109,4
2026/02/01; 784,4
2026/02/01; 771,9
2026/02/01; 855
2026/02/01; 2880,8
2026/02/01; 2790,2
2026/02/01; 2586,6
2026/02/01; 1526,4
2026/02/01; 2772,9
2026/02/01; 2286,9
2026/02/01; 1342,8
2026/02/01; 570,8
2026/02/01; 177,4
2026/02/01; 
2026/02/02; 
2026/02/02; 
2026/02/02; 
2026/02/02; 
2026/02/02; 
2026/02/02; 
2026/02/02; 
2026/02/02; 
2026/02/02; 
2026/02/02; 
2026/02/02; 145,1
2026/02/02; 955
2026/02/02; 1792,6
2026/02/02; 1165,3
2026/02/02; 2072,1
2026/02/02; 2395,3
2026/02/02; 3933,8
2026/02/02; 1976,6
2026/02/02; 2386,1
2026/02/02; 1321,5
2026/02/02; 619
2026/02/02; 179,9
2026/02/02; 32,4
2026/02/02; 
2026/02/03; 
2026/02/03; 
2026/02/03; 
2026/02/03; 
2026/02/03; 
2026/02/03; 
2026/02/03; 
2026/02/03; 
2026/02/03; 
2026/02/03; 
2026/02/03; 119,4
2026/02/03; 459,3
2026/02/03; 832,8
2026/02/03; 1785,6
2026/02/03; 2141,1
2026/02/03; 3276,8
2026/02/03; 2333,5
2026/02/03; 3534
2026/02/03; 1844,6
2026/02/03; 850,1
2026/02/03; 347,1
2026/02/03; 36,5
2026/02/03; 3,7
2026/02/03; 
2026/02/04; 
2026/02/04; 
2026/02/04; 
2026/02/04; 
2026/02/04; 
2026/02/04; 
2026/02/04; 
2026/02/04; 
2026/02/04; 
2026/02/04; 
2026/02/04; 68,8
2026/02/04; 391,1
2026/02/04; 971,1
2026/02/04; 1609,2
2026/02/04; 2658,1
2026/02/04; 2925
2026/02/04; 2810,7
2026/02/04; 2744,1
2026/02/04; 1364,9
2026/02/04; 776,8
2026/02/04; 706,9
2026/02/04; 765,2
2026/02/04; 45,3
2026/02/04; 
2026/02/05; 
2026/02/05; 
2026/02/05; 
2026/02/05; 
2026/02/05; 
2026/02/05; 
2026/02/05; 
2026/02/05; 
2026/02/05; 
2026/02/05; 
2026/02/05; 125,2
