Data; Radiação global
2026/06/01; 
2026/06/01; 
2026/06/01; 
2026/06/01; 
2026/06/01; 
2026/06/01; 
2026/06/01; 
2026/06/01; 
2026/06/01; 
2026/06/01; 
2026/06/01; 12,8
2026/06/01; 535,8
2026/06/01; 1150,9
2026/06/01; 1821,3
2026/06/01; 2299,5
2026/06/01; 2599
2026/06/01; 2780,4
2026/06/01; 1512,9
2026/06/01; 704,4
2026/06/01; 1015,2
2026/06/01; 449,1
2026/06/01; 30,5
2026/06/01; 
2026/06/01; 
2026/06/02; 
2026/06/02; 
2026/06/02; 
2026/06/02; 
2026/06/02; 
2026/06/02; 
2026/06/02; 
2026/06/02; 
2026/06/02; 
2026/06/02; 
2026/06/02; 32,1
2026/06/02; 414,3
2026/06/02; 1279,9
2026/06/02; 1971,6
2026/06/02; 2310,8
2026/06/02; 2576,9
2026/06/02; 2731,6
2026/06/02; 2475,1
2026/06/02; 1917,7
2026/06/02; 1104,7
2026/06/02; 374,9
2026/06/02; 60
2026/06/02; 
2026/06/02; 
2026/06/03; 
2026/06/03; 
2026/06/03; 
2026/06/03; 
2026/06/03; 
2026/06/03; 
2026/06/03; 
2026/06/03; 
2026/06/03; 
2026/06/03; 
2026/06/03; 23,7
2026/06/03; 410
2026/06/03; 1175,4
2026/06/03; 1882,6
2026/06/03; 2492,8
2026/06/03; 2530,9
2026/06/03; 2264,5
2026/06/03; 2354,7
2026/06/03; 2286,9
2026/06/03; 1210,4
2026/06/03; 517,6
2026/06/03; 90,8
2026/06/03; 
2026/06/03; 
2026/06/04; 
2026/06/04; 
2026/06/04; 
2026/06/04; 
2026/06/04; 
2026/06/04; 
2026/06/04; 
2026/06/04; 
2026/06/04; 
2026/06/04; 
2026/06/04; 13,9
2026/06/04; 570
2026/06/04; 1294,8
2026/06/04; 2070,6
2026/06/04; 2567,3
2026/06/04; 2886,8
2026/06/04; 2888,9
2026/06/04; 2677,1
2026/06/04; 2247,6
2026/06/04; 1632,4
2026/06/04; 849,5
2026/06/04; 109,5
2026/06/04; 
2026/06/04; 
2026/06/05; 
2026/06/05; 
2026/06/05; 
2026/06/05; 
2026/06/05; 
2026/06/05; 
2026/06/05; 
2026/06/05; 
2026/06/05; 
2026/06/05; 
2026/06/05; 16,4
